slug,provider,actionButtons,plan,nodeType,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,address
radiumblock-free-recent-state,RadiumBlock,"[""[Website](https://radiumblock.com)""]",Free,Recent-State,$0,$0,NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""Decentralized RPC endpoints"",""Multi-chain support""]","[""rate limiting applies""]",,"[""Advanced encryption protocols"",""Continuous monitoring"",""Automated failover mechanisms""]","[""Global""]",
radiumblock-pay-as-you-go-recent-state,RadiumBlock,"[""[Buy](https://radiumblock.com/pricing.html)""]",Pay-as-you-go,Recent-State,$150/$400/$750,,NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""Decentralized RPC endpoints"",""Multi-chain support""]","[""rate limiting applies""]",,"[""Advanced encryption protocols"",""Continuous monitoring"",""Automated failover mechanisms""]","[""Global""]",
subquery-public-full-archive,Subquery,"[""[Website](https://app.subquery.network/explorer/home?category=rpc)"",""[Docs](https://subquery.network/doc/subquery_network/introduction/introduction.html)""]",Public,Full Archive,$0,$0,NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""Decentralized RPC endpoints"",""Multi-chain support""]","[""Rate limits apply""]","[""Decentralized storage"",""IP Protection""]","[""Data lake logs"",""Usage analytics""]","[""Global""]",
subquery-pay-as-you-go-full-archive,Subquery,"[""[Website](https://app.subquery.network/explorer/home?category=rpc)"",""[Docs](https://subquery.network/doc/subquery_network/introduction/introduction.html)""]",Pay-as-you-go,Full Archive,,1.5K/3K SQT/1M reqs,NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""Decentralized RPC endpoints"",""Multi-chain support""]","[""Price may vary depending on the value of the token""]","[""Decentralized storage"",""IP Protection""]","[""Data lake logs"",""Usage analytics""]","[""Global""]",
startale-enterprise-full-archive,Startale,"[""[Buy](https://startale.com/en/scs/pricing)"",""[Docs](https://documentation.onfinality.io/)""]",Enterprise,Full Archive,Custom,,NULL,NULL,NULL,Custom,,,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""user operations""]",,"[""IP whitelistening"", ""Domain whitelistening""]","[""Success/Fail rate""]",,
startale-free-recent-state,Startale,"[""[Website](https://startale.com/en/scs/pricing)"",""[Docs](https://documentation.onfinality.io/)""]",Free,Recent-State,$0,$0,NULL,NULL,NULL,,,,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""30 requests per second"",""2 endpoints""]",,"[""Success/Fail rate""]",,
startale-pay-as-you-go-full-archive,Startale,"[""[Buy](https://startale.com/en/scs/pricing)"",""[Docs](https://documentation.onfinality.io/)""]",Pay-as-you-go,Full Archive,$39/$169 with 400M/1.5B CU included,$1/1M CU,NULL,NULL,NULL,,,,FALSE,FALSE,"[""eth"",""web3"",""net"", ""debug"",""trace"",""user operations""]","[""300/500 requests per second"",""5/30 endpoints""]","[""IP whitelistening"", ""Domain whitelistening""]","[""Success/Fail rate""]",,
tatum-free-recent-state,Tatum,"[""[Website](https://tatum.io/)"",""[Docs](https://docs.tatum.io/)""]",Free,Recent-State,$0,$0,NULL,NULL,NULL,99.99%,NULL,NULL,FALSE,FALSE,"[""Wallet and address management"",""Transaction broadcasting"",""Query of blockchain state"",""Asset management""]","[""2 API Keys"",""100K lifetime credits"",""3 RPS"",""1-day notification history""]","[""Key Management System (KMS)"",""Local Transaction Signing"",""Four-Eye Principle"",""Periodic Transaction Fetching and Signing Automation""]","[""Simplified RPC calls"",""Debugging Tools"",""Tracking activities""]","[""Global""]",
tatum-pay-as-you-go-recent-state,Tatum,"[""[Buy](https://tatum.io/pricing)"",""[Docs](https://docs.tatum.io/)""]",Pay-as-you-go,Recent-State,"$49/mo, $29/yearly, $25/2 years","$0.000009/extra credit, $9/1M extra credits",NULL,NULL,NULL,99.99%,NULL,NULL,FALSE,FALSE,"[""Wallet and address management"",""Transaction broadcasting"",""Query of blockchain state"",""Asset management""]","[""Unlimited API Keys"",""4M credits/mo"",""200 RPS"",""7-day notification history""]","[""Key Management System (KMS)"",""Local Transaction Signing"",""Four-Eye Principle"",""Periodic Transaction Fetching and Signing Automation""]","[""Simplified RPC calls"",""Debugging Tools"",""Tracking activities"",""Advanced analytics""]","[""Global""]",
tatum-enterprise-recent-state,Tatum,"[""[Contact](https://tatum.io/get-in-touch)"",""[Docs](https://docs.tatum.io/)""]",Enterprise,Recent-State,Custom,Custom,NULL,NULL,NULL,99.99%,NULL,NULL,FALSE,FALSE,"[""Wallet and address management"",""Transaction broadcasting"",""Query of blockchain state"",""Asset management""]","[""Unlimited API Calls"",""Custom Rate Limits"",""30-day notification history"",""Up to 1K req/s""]","[""Key Management System (KMS)"",""Local Transaction Signing"",""Four-Eye Principle"",""Periodic Transaction Fetching and Signing Automation""]","[""Simplified RPC calls"",""Debugging Tools"",""Tracking activities"",""Advanced analytics""]","[""Global""]",
