slug,provider,actionButtons,planName,planType,historicalData,apiType,technology,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address
thegraph-pay-as-you-go-indexer,The Graph,,,Pay-as-you-go,Archive,Indexed Data,The Graph,$0,$20/1M queries over free plan,NULL,NULL,NULL,,,,,FALSE,FALSE,"[""GraphQL""]",,"[""Decentralized infra""]","[""Subgraph logs"",""Usage analytics""]","[""Global""]","[""Hosted indexing"",""real-time data updates"",""Substreams""]",null
thirdweb-dedicated-recent-state,ThirdWeb,"[""[Website](https://thirdweb.com/pricing)"",""[Docs](https://portal.thirdweb.com/)""]",,Dedicated,Pruned,RPC,EVM JSON-RPC,$499 + Node price,$8/1M requests (volume discounts applies),NULL,NULL,NULL,,NULL,NULL,,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""1000 requests per second""]",,,,,
thirdweb-enterprise-indexer,ThirdWeb,,,Enterprise,Archive,Indexed Data,Custom,up to $1499,$5.4/1M queries,NULL,NULL,NULL,,,,,FALSE,FALSE,"[""REST"",""GraphQL""]","[""30RPS/1500RPM""]","[""DDoS Protection"",""IP Protection"",""Dedicated infrastructure""]","[""Usage analytics"",""Custom dashboards""]","[""Global""]","[""Custom API Schemas"",""No ABI Required"",""Email support"",""Slack support"",""Telegram support"",""Account Executive""]",null
thirdweb-enterprise-recent-state,ThirdWeb,"[""[Contact](https://thirdweb.com/pricing)"",""[Docs](https://portal.thirdweb.com/)""]",,Enterprise,Pruned,RPC,EVM JSON-RPC,up to $1499,$8/1M requests (volume discounts applies),NULL,NULL,NULL,,NULL,NULL,,FALSE,FALSE,"[""eth"",""web3"",""net""]",,,,,,
thirdweb-free-indexer,ThirdWeb,,,Free,Archive,Indexed Data,Custom,$0 (14 Day Free Trial),$0,NULL,NULL,NULL,,,,,FALSE,FALSE,"[""REST"",""GraphQL""]",,"[""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""Global""]","[""Custom API Schemas"",""No ABI Required""]",null
thirdweb-free-recent-state,ThirdWeb,"[""[Website](https://thirdweb.com/)"",""[Docs](https://portal.thirdweb.com/)""]",,Free,Pruned,RPC,EVM JSON-RPC,$0,$0,NULL,NULL,NULL,,NULL,NULL,,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""100 requests per second"", ""1M requests""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""Global""]",null,
thirdweb-pay-as-you-go-indexer,ThirdWeb,,,Tiered,Archive,Indexed Data,Custom,$5/$99/$499,$8/$6.8/1M queries,NULL,NULL,NULL,,,,,FALSE,FALSE,"[""REST"",""GraphQL""]","[""1RPS/10RPM"",""5RPS/100RPM"",""10RPS/500RPM""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""Global""]","[""Custom API Schemas"",""No ABI Required"",""Email support"",""Slack support"",""Telegram support""]",null
thirdweb-pay-as-you-go-recent-state,ThirdWeb,"[""[Buy](https://thirdweb.com/pricing)"",""[Docs](https://portal.thirdweb.com/)""]",,Pay-as-you-go,Pruned,RPC,EVM JSON-RPC,$5/$99,$8/1M requests (volume discounts applies),NULL,NULL,NULL,,NULL,NULL,,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""100/250 requests per second""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom monitoring""]","[""Global""]",,
omnia-free-recent-state,Omnia,"[""[Website](https://www.omniatech.io/)"",""[Docs](https://docs.omniatech.io/)""]",Free,Free,Pruned,RPC,EVM JSON-RPC,$0,$0,NULL,NULL,NULL,99.80%,,,,FALSE,TRUE,"[""Public RPC Endpoints"",""Security Features"",""Infrastructure Tools"",""Specialized APIs""]","[""3M req/mo"",""50 rps""]","[""Front-running and Sandwich Attack Protection"",""Honeypot and Scam Protection""]","[""Uptime and Availability Monitoring"",""Latency Metrics"",""HealthCheck Monitors"",""Data Integrity Checks""]","[""Global""]","[""Advanced Integration and Development Tools"",""AI and Intelligent Automation"",""Security and Compliance"",""Management and Administration""]",null
omnia-pro-recent-state,Omnia,"[""[Buy](https://docs.omniatech.io/pricing-plans)""]",Pro,Tiered,Pruned,RPC,EVM JSON-RPC,$31/mo,$3.44/1M CUs,NULL,NULL,NULL,,,,,FALSE,TRUE,"[""Public RPC Endpoints"",""Security Features"",""Infrastructure Tools"",""Specialized APIs""]","[""9M req/mo"",""50 rps""]","[""Front-running and Sandwich Attack Protection"",""Honeypot and Scam Protection""]","[""Uptime and Availability Monitoring"",""Latency Metrics"",""HealthCheck Monitors"",""Data Integrity Checks""]","[""Global""]","[""Advanced Integration and Development Tools"",""AI and Intelligent Automation"",""Security and Compliance"",""Management and Administration""]",null
